0,31,1.5,0.7,1,9,0,0,0,4,8,7
1,13,2.2,0.4,1,8,0,0,0,7,11,6
2,13,1.4,0.7,1,11,0,0,0,7,1,8
3,12,1.4,0.7,1,8,0,1,27,9,2,8
4,19,1.4,0.7,1,14,8,0,0,12,7,5
5,12,1.5,0.7,1,7,0,1,23,8,4,8
6,17,8.2,0.8,2,11,2,1,71,7,3,10
7,12,1.5,0.7,1,9,0,0,0,6,2,6
8,28,1.5,0.7,2,7,0,2,66,2,2,6
9,17,8.5,0.8,2,11,0,1,112,6,1,10
10,12,3.6,1.1,2,8,0,0,0,12,21,12
11,31,1.2,0.9,2,15,0,0,0,4,4,6
12,17,3.5,1.1,2,10,2,0,0,11,6,10
0,31,1.4,0.7,1,12,0,0,0,8,37,8
1,14,2.3,0.4,1,6,0,0,0,8,10,5
2,13,1.4,0.7,1,14,0,1,32,6,2,7
3,13,1.4,0.7,1,8,2,1,28,7,1,8
4,20,1.4,0.7,1,9,2,0,0,12,6,4
5,13,1.5,0.7,1,10,0,1,24,8,2,8
6,17,7.5,0.9,2,14,2,0,0,6,1,12
7,13,1.5,0.7,1,9,0,0,0,6,1,6
8,28,1.5,0.7,2,6,0,1,30,2,2,6
9,17,7.8,0.9,2,11,2,1,111,6,2,13
10,13,3.6,1.1,2,13,0,0,0,11,16,14
11,31,1.2,0.9,2,16,6,0,0,4,4,7
12,18,3.5,1.1,2,13,2,0,0,9,4,10
13,55,1.8,0.5,1,17,2,0,0,46,161,5
14,55,1.8,0.5,3,17,2,0,0,45,151,5
15,55,1.8,0.5,1,31,0,0,0,42,147,5
16,10,24.1,2.2,6,47,14,0,0,12,31,26
0,31,1.5,0.7,1,11,0,0,0,3,14,8
1,14,2.3,0.4,1,7,0,0,0,7,14,6
2,13,1.4,0.7,1,12,0,0,0,6,1,7
3,12,1.4,0.7,1,8,0,1,32,6,3,8
4,20,1.4,0.7,1,11,0,0,0,11,7,6
5,12,1.5,0.7,1,7,0,1,23,7,2,8
6,17,8.6,0.8,2,11,0,1,15,7,3,10
7,12,1.5,0.7,1,11,0,0,0,6,1,6
8,27,1.5,0.6,2,8,0,1,28,2,3,6
9,16,8.6,0.8,2,9,0,1,14,7,3,10
10,12,3.7,1.1,2,8,2,0,0,14,27,12
11,31,1.2,0.9,2,12,0,0,0,4,5,7
12,17,3.6,1.1,2,16,4,0,0,14,15,10
0,37,1.4,0.7,1,30,12,0,0,2,4,7
1,22,2.1,0.5,1,14,2,0,0,13,18,6
2,22,1.5,0.7,1,32,4,0,0,13,9,8
3,30,1.5,0.7,3,32,2,1,22,21,22,7
4,27,1.4,0.7,1,30,14,0,0,24,21,5
5,32,1.5,0.7,2,24,4,1,23,16,23,5
6,35,1.7,0.6,3,37,2,1,5,24,24,4
7,20,1.6,0.6,1,19,2,0,0,12,9,6
8,35,1.4,0.7,2,33,2,1,21,10,11,6
9,34,1.7,0.6,3,36,0,1,40,20,24,5
10,24,2.6,0.4,2,25,4,0,0,30,41,4
11,36,1.2,0.8,2,44,10,0,0,10,15,7
12,32,1.8,0.5,2,19,4,0,0,12,14,6
0,34,1.4,0.7,1,9,0,0,0,24,71,8
1,13,2.2,0.5,1,6,6,0,0,7,7,6
2,12,1.3,0.8,1,11,2,1,34,6,6,8
3,12,1.4,0.7,1,8,0,1,32,8,7,7
4,19,1.4,0.7,1,14,12,0,0,13,12,8
